Graph_Type,Base_Diameter,Achieved_Reduced_Diameter,QAOA_Layers_p,Formal_Strategy,Mean_AR,Max_AR,Min_AR,Std_AR,Unique_N_Tested,Total_Graphs_Tested,Baseline_Mean_AR,Absolute_AR_Lift,Improvement_Percentage
Bipartite,5,4,1,XX+YY_Mixer,0.7761195195354665,0.8749999917821821,0.732389573181714,0.0371407296320141,9,20,0.775071081687577,0.0010484378478895495,0.13526989622768093
Bipartite,5,3,1,XX_Mixer,0.7751106123275225,0.8749999952490651,0.7238921233468997,0.03626502546678167,9,22,0.775071081687577,3.953063994555084e-05,0.0051002599477044126
Bipartite,5,3,1,XX+YY_Mixer,0.7747359526866681,0.874999987288003,0.7327350026920263,0.03566540467184679,9,22,0.775071081687577,-0.00033512900090892916,-0.04323848596947346
Bipartite,5,2,1,XX_Mixer,0.7757534749879054,0.8749999884803001,0.732734968464418,0.03497927317773037,9,22,0.775071081687577,0.0006823933003283766,0.08804267330456825
Bipartite,5,2,1,XX+YY_Mixer,0.7946771756632476,0.8749999870437201,0.7327349629431582,0.03884285883283528,9,22,0.775071081687577,0.01960609397567059,2.5295865681095817
Bipartite,5,1,1,XX_Mixer,0.8022938458467376,0.9374999931802313,0.7388353623156118,0.054699125503570055,9,22,0.775071081687577,0.027222764159160584,3.512292588685923
Bipartite,5,1,1,XX+YY_Mixer,0.957429332326202,0.9999999385791438,0.8864397878875566,0.030699954007107098,9,22,0.775071081687577,0.18235825063862499,23.527938913882956
Bipartite,5,5,2,Standard_QAOA,0.9177604554248995,0.9642856599907444,0.8478259317794038,0.029814325393018235,9,22,0.9177604554248995,0.0,0.0
Bipartite,5,4,2,XX_Mixer,0.9164856424315582,0.9615383812342486,0.851188758043861,0.02743502164708522,9,20,0.9177604554248995,-0.0012748129933413122,-0.13890476385268818
Bipartite,5,4,2,XX+YY_Mixer,0.9481703853401852,0.9999999744172609,0.8511872947337004,0.04351103567905085,9,20,0.9177604554248995,0.030409929915285683,3.3134931599560655
Bipartite,5,3,2,XX_Mixer,0.9204506897385708,0.964285675853422,0.851188317654051,0.029283504877041268,9,22,0.9177604554248995,0.0026902343136713247,0.29313033676372724
Bipartite,5,3,2,XX+YY_Mixer,0.9598178652878127,0.9999999887922246,0.8913043067629143,0.04301051477229794,9,22,0.9177604554248995,0.042057409862913175,4.582612991692007
Bipartite,5,2,2,XX_Mixer,0.9215179780786454,0.9642856421114502,0.8511889946680553,0.02755890932444091,9,22,0.9177604554248995,0.0037575226537459594,0.4094230288018155
Bipartite,5,2,2,XX+YY_Mixer,0.9925512320697124,0.9999999266625526,0.9166661374744832,0.02355747930800472,9,22,0.9177604554248995,0.07479077664481293,8.149269910544001
Bipartite,5,1,2,XX_Mixer,0.9608795492542455,0.9999999542127712,0.8683499074755258,0.04120065423496068,9,22,0.9177604554248995,0.04311909382934598,4.698295026165946
Bipartite,5,1,2,XX+YY_Mixer,0.9982258521504508,0.9999997447386484,0.9790167646457356,0.004925953519632732,9,22,0.9177604554248995,0.08046539672555131,8.767581589500704
